planet_name,ra_event,dec_event,earth_massses,jupiter_masses,planet_orbmax,lens_distance,source_distance,einstein_cross_time,source_mag,planet_star_mass_ratio,angular_einstein_radius,lens_distance_ly,source_distance_ly
KMT-2019-BLG-1953L b,17 56 27.90,-28 12 04.00,,,,,8000.0,16.18,19.1,20.68,0.25,,26096.0
MOA-2013-BLG-605L b,17 58 42.85,-29 23 53.66,20.58,0.06475,4.18,3550.0,,19.83,3.124,18.112,0.503,11580.1,
OGLE-2005-BLG-390L b,17 54 19.2,-30 22 38,5.5,0.017,2.6,6600.0,8000.0,11.03,0.76,,,21529.2,26096.0
OGLE-2012-BLG-0950L b,18 08 04.62,-29 43 53.7,36.0,0.11,2.7,3400.0,,68.5,1.9,19.3,0.86,11090.8,
OGLE-2016-BLG-1067L b,18 12 49.08,-27 00 45.5,140.0,0.43,1.71,3780.0,7660.0,27.6,13.17,18.8,,12330.36,24986.920000000002
OGLE-2018-BLG-0740L b,18 08 42.47,-29 50 08.9,350.0,1.1,1.5,7200.0,8000.0,62.63,23.0,21.54,0.28,23486.4,26096.0
OGLE-2017-BLG-0373L b,17 57 19.06,-31 57 06.2,60.1,0.189,2.575,5810.0,,12.849,6.51,,0.317,18952.22,
OGLE-2007-BLG-368L b,17 56 25.96,-32 14 14.7,20.0,0.06,2.8,5900.0,,55.4,0.95,19.51,0.529,19245.8,
KMT-2016-BLG-2142L b,17 52 26.88,-29 23 04.42,4923.0,15.49,0.83,7010.0,,5.15,2030.0,3.9,0.122,22866.62,
OGLE-2018-BLG-0596L b,17 56 13.33,-29 11 56.7,13.93,0.04383,0.97,5650.0,8580.0,29.003,1.827,17.19,0.336,18430.3,27987.96
OGLE-2013-BLG-0911L b,17 55 31.98,-29 15 13.8,,,,,8000.0,98.275,345.6,18.104,,,26096.0
MOA-2010-BLG-353L b,18 05 12.94,-27 17 35.64,86.0,0.27,1.72,6430.0,8000.0,11.3,14.0,17.73,0.187,20974.66,26096.0
KMT-2018-BLG-1990L b,17 53 44.49,-22 09 09.14,206.0,0.649,0.947,950.0,,45.646,55.91,19.36,,3098.9,
KMT-2018-BLG-0029L b,17 37 52.67,-27 59 04.92,7.59,0.0239,4.27,3380.0,8200.0,173.95,0.1829,,1.56,11025.56,26748.4
MOA-2011-BLG-291L b,17 55 28.29,-29 10 14.4,18.0,0.057,0.69,4400.0,4900.0,23.5,3.8,20.747,0.129,14352.8,15983.8
OGLE-2012-BLG-0026L b,17 34 18.70,-27 08 33.9,46.1,0.145,4.0,4019.0,7390.0,94.12,,,0.98,13109.978,24106.18
OGLE-2015-BLG-1771L b,17 55 11.76,-28 51 45.90,740.9,2.331,0.55,6850.0,,2.49,455.0,20.91,0.071,22344.7,
OGLE-2015-BLG-0051L b,17 58 39.01,-28 01 54.1,230.0,0.72,0.73,8200.0,,10.81,74.3,,0.093,26748.4,
OGLE-2016-BLG-0613L AB b,17 57 02.50,-28 06 58.2,957.0,3.01,3.28,3560.0,,44.94,44.3,22.01,1.12,11612.72,
MOA-2009-BLG-319L b,18 06 58.13,-26 49 10.9,67.3,0.212,2.03,7050.0,8250.0,16.72,3.856,19.994,0.296,22997.1,26911.5
OGLE-2017-BLG-1434L b,17 53 07.29,-30 14 44.6,4.5,0.014,1.18,860.0,,62.957,0.5722,18.45,1.4,2805.32,
OGLE-2005-BLG-169L b,18 06 05.32,-30 43 57.5,13.2,0.0415,3.4,4000.0,8500.0,43.63,0.615,20.81,0.838,13048.0,27727.0
KMT-2016-BLG-1820L b,17 55 03.54,-29 31 00.91,1450.0,4.57,1.08,6260.0,,4.81,1130.0,3.37,0.123,20420.12,
OGLE-2012-BLG-0724L b,17 55 52.39,-29 49 6.7,150.0,0.47,1.6,6700.0,,13.3556,15.848,21.89,0.239,21855.4,
MOA-2012-BLG-505L b,17 52 34.34,-32 02 24.33,6.7,0.0211,0.9,7210.0,,9.8335,2.0521,21.29,0.121,23519.02,
OGLE-2016-BLG-1195L b,17 55 23.5,-30 12 26.1,1.43,0.0045,1.16,3910.0,,9.94,0.56,18.99,0.286,12754.42,
OGLE-2016-BLG-1190L b,17 58 52.30,-27 36 48.8,4253.0,13.38,2.17,6770.0,8700.0,93.532,144.6,,0.49,22083.74,28379.4
OGLE-2018-BLG-1700L b,17 59 49.45,-28 31 43.10,1400.0,4.4,2.8,7600.0,10700.0,41.91,100.0,21.08,0.37,24791.2,34903.4
MOA-2007-BLG-192L b,18 08 03.80,-27 09 00.27,3.3,0.01,0.62,1000.0,,74.5,1.2,21.48,,3262.0,
OGLE-2014-BLG-1722L b,17 55 00.57,-31 28 08.6,55.3,0.174,1.5,6400.0,,23.797,4.451,18.87,,20876.8,
OGLE-2014-BLG-0124L b,18 02 29.21,-28 23 46.5,150.0,0.47,2.97,4230.0,,151.8,7.05,18.59,0.78,13798.26,
KMT-2017-BLG-0165L b,17 58 35.92,-28 08 01.21,,,,,,41.775,1.332,18.43,,,
OGLE-2015-BLG-0966L b,17 55 01.02,-29 02 49.6,21.0,0.066,2.7,3300.0,8000.0,57.7,1.67,,0.76,10764.6,26096.0
MOA-2010-BLG-117L b,18 07 49.67,-25 20 40.7,170.0,0.54,2.42,3500.0,6900.0,120.6,9.5,17.95,0.805,11417.0,22507.8
OGLE-2018-BLG-1011L b,17 56 03.36,-29 04 58.4,570.0,1.8,0.8,7100.0,8000.0,12.19,92.5,19.93,0.09,23160.2,26096.0
MOA-2009-BLG-266L b,17 48 05.95,-35 00 19.5,10.4,0.0327,3.2,3040.0,8800.0,61.54,0.545,15.856,0.98,9916.48,28705.6
OGLE-2018-BLG-1011L c,17 56 03.36,-29 04 58.4,890.0,2.8,0.8,7100.0,8000.0,12.41,160.6,19.93,0.09,23160.2,26096.0
OGLE-2013-BLG-0341L B b,17 52 07.49,-29 50 46.0,,,,,,31.97,1.681,18.6103,,,
OGLE-2011-BLG-0265L b,17 57 47.72,-27 23 40.3,180.0,0.56,1.51,3490.0,,53.33,39.23,17.57,0.423,11384.38,
OGLE-2012-BLG-0358L b,17 42 46.77,-24 15 39.6,588.0,1.85,0.87,1760.0,7600.0,26.46,1248.6,,0.29,5741.12,24791.2
OGLE-2018-BLG-1269L b,17 58 46.42,-27 37 04.6,210.0,0.67,4.51,2510.0,,70.672,5.753,19.42,1.602,8187.62,
OGLE-2017-BLG-1522L b,18 01 16.65,-28 27 43.1,240.0,0.75,0.59,7490.0,,7.53,159.0,,0.065,24432.38,
OGLE-2017-BLG-1049L b,17 58 08.05,-27 08 39.20,1760.0,5.53,3.92,5670.0,,28.652,95.34,,0.52,18495.54,
OGLE-2013-BLG-0102L b,17 52 07.08,-31 41 26.1,4400.0,14.0,0.79,3150.0,,37.1,1430.0,,0.41,10275.3,
OGLE-2016-BLG-1227L b,17 42 23.31,-33 45 35.2,250.0,0.79,3.4,,,45.37,80.334,16.85,0.098,,
MOA-2008-BLG-379L b,17 58 49.44,-30 11 48.95,1300.0,4.1,2.7,3300.0,,42.46,68.5,21.3,0.9,10764.6,
KMT-2017-BLG-1038L b,17 44 41.02,-25 08 34.91,640.0,2.0,1.8,6000.0,,21.9,53.0,,,19572.0,
OGLE-2011-BLG-0173L b,17 57 15.78,-28 14 01.9,2100.0,6.5,0.5,5900.0,,30.15,144.0,16.272,0.79,19245.8,
MOA-2011-BLG-322L b,18 04 53.6,-27 13 15.4,3690.0,11.6,4.3,7560.0,,23.17,284.0,19.83,0.085,24660.72,
MOA-2007-BLG-400L b,18 09 41.98,-29 13 26.95,260.0,0.83,6.5,5800.0,,14.33,25.0,,0.32,18919.6,
KMT-2016-BLG-1836L b,17 53 00.08,-30 02 26.70,730.0,2.7,2.6,7100.0,,49.5,44.0,22.0,,23160.2,
MOA-2011-BLG-262L b,18 00 23.48,-31 14 42.93,,,,,,3.846,4.67,19.935,,,
OGLE-2011-BLG-0251L b,17 38 14.18,-27 08 10.1,170.0,0.53,2.72,2570.0,,63.88,19.2,15.97,0.75,8383.34,
OGLE-2018-BLG-0677L b,17 55 00.27,-32 00 59.51,3.96,0.0125,0.72,7580.0,8370.0,4.94,0.8831,,,24725.96,27302.94
OGLE-2014-BLG-1722L c,17 55 00.57,-31 28 08.6,83.7,0.263,1.7,6400.0,,23.797,7.071,18.87,,20876.8,
KMT-2019-BLG-1339L b,17 42 58.42,-25 34 26.1,3400.0,10.7,4.3,7210.0,,17.66,374.8,20.89,0.22,23519.02,
OGLE-2012-BLG-0406L b,17 53 18.17,-30 28 16.2,1200.0,3.8,3.8,5100.0,,64.33,62.6,,0.57,16636.2,
OGLE-2014-BLG-1760L b,17 57 38.16,-28 57 47.37,180.0,0.56,1.75,6860.0,,15.87,8.64,19.07,0.29,22377.32,
OGLE-2015-BLG-0954L b,18 00 44.24,-28 39 39.2,1200.0,3.9,1.2,600.0,,36.96,119.4,20.91,1.89,1957.2,
OGLE-2012-BLG-0563L b,18 05 57.72,-27 42 43.2,120.0,0.39,0.74,1300.0,9100.0,77.5,10.86,20.115,1.36,4240.6,29684.2
MOA-2009-BLG-387L b,17 53 50.79,-33 59 25.0,830.0,2.6,1.8,5690.0,,40.0,132.0,,0.31,18560.78,
MOA-bin-29 b,17 57 30.23,-29 44 11.63,180.0,0.58,0.39,6730.0,,5.191,82.7,20.033,0.068,21953.26,
OGLE-2006-BLG-109L b,17 52 34.51,-30 05 16.0,230.0,0.71,2.3,1490.0,8000.0,,,,,4860.38,26096.0
KMT-2016-BLG-0212L b,17 53 45.42,-29 05 12.80,5700.0,18.0,2.2,6300.0,,26.616,368.0,20.69,0.42,20550.6,
OGLE-2017-BLG-1375L b,17 56 37.17,-30 18 41.1,,,,,,101.36,134.6,22.1,0.99,,
OGLE-2014-BLG-0676L b,17 52 24.50,-30 32 54.20,982.0,3.09,4.4,2220.0,,116.3,47.8,23.512,1.38,7241.64,
MOA-2016-BLG-319L b,17 54 58.13,-29 45 01.67,210.0,0.65,1.09,6800.0,,8.69,41.0,19.01,0.107,22181.6,
MOA-2008-BLG-310L b,17 54 14.53,-34 46 40.99,74.0,0.23,1.25,6000.0,8000.0,11.08,3.2,19.28,0.155,19572.0,26096.0
OGLE-2007-BLG-349L AB c,18 05 24.43,-26 25 19.0,80.0,0.25170815,2.59,2760.0,,118.0,3.39,20.369,1.15,9003.12,
OGLE-2017-BLG-1140L b,17 47 31.93,-24 31 21.6,505.0,1.59,1.02,,8100.0,14.69,72.0,,0.163,,26422.2
KMT-2018-BLG-1292L b,17 33 42.62,-33 31 14.41,,,,,,63.98,30.75,,1.73,,
OGLE-2017-BLG-0173L b,17 51 52.95,-29 16 16.9,3.269,0.01029,3.913,4705.0,,30.46,0.2479,,0.54,15347.710000000001,
KMT-2016-BLG-1397L b,18 10 39.51,-24 51 27.86,,,,,,37.1,250.0,,,,
