,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
0,OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,1,1,Microlensing,2020,1.3 m Warsaw University Telescope,,3.4,13.9,1.24,250.0,0.79,,,,0.1,,
1,GJ 480 b,GJ 480,1,1,Radial Velocity,2020,Multiple Telescopes,9.567,0.068,3.69,0.33,13.2,0.04153,0.1,3381.0,0.46,0.45,14.2358,46.4371796
2,Kepler-276 c,Kepler-276,1,3,Transit,2013,0.95 m Kepler Telescope,31.884,0.1994,2.9,0.259,16.6,0.052,0.0,5779.0,1.03,1.1,1144.86,3734.5333199999995
3,Kepler-829 b,Kepler-829,1,1,Transit,2016,0.95 m Kepler Telescope,6.88337562,0.0678,2.11,0.188,5.1,0.016,0.0,5698.0,0.97,0.98,1073.76,3502.60512
4,K2-283 b,K2-283,1,1,Transit,2018,0.95 m Kepler Telescope,1.921036,0.0291,3.52,0.314,12.2,0.0383,,5060.0,0.82,0.89,402.915,1314.30873
5,Kepler-477 b,Kepler-477,2,1,Transit,2016,0.95 m Kepler Telescope,11.11990653,0.0911,2.07,0.185,4.94,0.0155,0.0,5240.0,0.79,0.87,367.0,1197.154
6,HAT-P-15 b,HAT-P-15,1,1,Transit,2010,Canon 200mm f/1.8L,10.8635,0.0965,11.882,1.06,616.5902,1.94,0.19,5568.0,1.07,1.0,192.516,627.9871919999999
7,HD 149143 b,HD 149143,1,1,Radial Velocity,2005,1.93 m Telescope,4.07182,0.053,13.6,1.22,422.7139,1.33,0.0167,5856.0,1.44,1.2,73.2801,239.0396862
8,HD 210702 b,HD 210702,1,1,Radial Velocity,2007,3.0 m C. Donald Shane Telescope,354.1,1.148,13.4,1.2,574.63664,1.808,0.028,4951.0,4.92,1.61,54.1963,176.7883306
9,HIP 12961 b,HIP 12961,1,1,Radial Velocity,2010,3.6 m ESO Telescope,57.435,0.25,13.2,1.18,114.4188,0.36,0.17,3901.0,0.65,0.69,23.371,76.23620199999999
10,XO-5 b,XO-5,1,1,Transit,2008,Canon 200mm f/1.8L,4.1877558,0.0515,12.78,1.14,378.2,1.19,0.0,5430.0,1.13,1.04,276.211,901.0002820000001
11,HD 5608 b,HD 5608,1,1,Radial Velocity,2012,1.88 m Telescope,779.9,1.911,13.5,1.2,534.27223,1.681,0.056,4877.0,5.14,1.53,58.1105,189.556451
12,HD 95872 b,HD 95872,1,1,Radial Velocity,2015,Multiple Telescopes,4375.0,5.15,13.0,1.16,1188.6842,3.74,0.06,5312.0,0.84,0.7,72.2195,235.580009
13,OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,1,1,Microlensing,2016,1.3 m Warsaw University Telescope,,2.7,4.86,0.433,21.0,0.066,,,,0.38,3300.0,10764.6
14,WASP-123 b,WASP-123,2,1,Transit,2016,Canon 200mm f/1.8L,2.9776412,0.04263,14.773,1.318,285.72917,0.899,0.0,5740.0,1.28,1.17,197.996,645.8629520000001
15,tau Cet e,tau Cet,1,4,Radial Velocity,2017,Multiple Telescopes,162.87,0.538,1.81,0.161,3.93,0.01237,0.18,5310.0,0.83,0.78,3.60304,11.753116480000001
16,K2-254 c,K2-254,1,2,Transit,2018,0.95 m Kepler Telescope,12.11839,0.0923,2.19,0.195,5.43,0.0171,,4629.0,0.67,0.71,227.775,743.00205
17,HD 26965 b,HD 26965,3,1,Radial Velocity,2018,Multiple Telescopes,42.378,,2.84,0.254,8.47,0.02665,0.04,5072.0,0.87,0.78,5.03545,16.4256379
18,EPIC 220554210 c,K2-282,1,2,Transit,2019,0.95 m Kepler Telescope,0.70531,,1.48,0.132,2.79,0.00879,,5523.0,1.01,0.94,496.289,1618.894718
19,NSVS 14256825 b,NSVS 14256825,2,1,Eclipse Timing Variations,2019,Multiple Telescopes,3225.0,3.12,12.3,1.1,4497.2945,14.15,0.12,40000.0,0.19,0.42,820.877,2677.700774
20,Kepler-1390 b,Kepler-1390,1,1,Transit,2016,0.95 m Kepler Telescope,6.48021673,0.0662,1.18,0.105,1.76,0.00553,0.0,5753.0,0.98,0.98,723.431,2359.8319220000003
21,Kepler-393 c,Kepler-393,1,2,Transit,2014,0.95 m Kepler Telescope,14.613612,0.124,1.33,0.119,2.33,0.00733,0.0,6189.0,1.38,1.21,881.404,2875.139848
22,Kepler-263 c,Kepler-263,1,2,Transit,2014,0.95 m Kepler Telescope,47.332773,0.242,2.47,0.22,6.66,0.021,0.0,5265.0,0.79,0.8,754.747,2461.9847139999997
23,Kepler-1431 b,Kepler-1431,1,1,Transit,2016,0.95 m Kepler Telescope,5.86601526,0.0648,1.47,0.131,2.76,0.00869,0.0,5806.0,1.03,1.03,1623.24,5295.00888
